Year,Winner,Score,Loser,Goals
1982,West Germany ,3–3 (a.e.t.), France, Littbarski  17'Rummenigge  102'Fischer  108'   Platini  26' (pen.)Trésor  92'Giresse  98' 
1982,Poland ,3–2, France, Szarmach  40'Majewski  44'Kupcewicz  46'   Girard  13'Couriol  72' 
1982,Italy ,3–1, West Germany, Rossi  57'Tardelli  69'Altobelli  81'   Breitner  83' 
1986,Mexico ,2–0, Bulgaria, Negrete  34'Servín  61'    
1986,Soviet Union ,3–4 (a.e.t.), Belgium," Belanov  27', 70', 111' (pen.)   Scifo  56'Ceulemans  77'Demol  102'Claesen  110' "
1986,Brazil ,4–0, Poland, Sócrates  30' (pen.)Josimar  55'Edinho  79'Careca  83' (pen.)    
1986,Argentina ,1–0, Uruguay, Pasculli  42'    
1986,Italy ,0–2, France,    Platini  15'Stopyra  57' 
1986,Morocco ,0–1, West Germany,    Matthäus  88' 
1986,England ,3–0, Paraguay," Lineker  31', 73'Beardsley  56'    "
1986,Denmark ,1–5, Spain," J. Olsen  33' (pen.)   Butragueño  43', 56', 80', 88' (pen.)Goikoetxea  68' (pen.) "
1986,Brazil ,1–1 (a.e.t.), France, Careca  17'   Platini  40' 
1986,West Germany ,0–0 (a.e.t.), Mexico,     
1986,Argentina ,2–1, England," Maradona  51', 55'   Lineker  81' "
1986,Spain ,1–1 (a.e.t.), Belgium, Señor  85'   Ceulemans  35' 
1986,France ,0–2, West Germany,    Brehme  9'Völler  89' 
1986,Argentina ,2–0, Belgium," Maradona  51', 63'    "
1986,Belgium ,2–4 (a.e.t.), France, Ceulemans  11'Claesen  73'   Ferreri  27'Papin  43'Genghini  104'Amoros  111' (pen.) 
1986,Argentina ,3–2, West Germany, Brown  23'Valdano  55'Burruchaga  83'   Rummenigge  74'Völler  80' 
1990,Cameroon ,2–1 (a.e.t.), Colombia," Milla  106', 108'   Redín  115' "
1990,Czechoslovakia ,4–1, Costa Rica," Skuhravý  12', 63', 82'Kubík  76'   González  55' "
1990,Brazil ,0–1, Argentina,    Caniggia  81' 
1990,West Germany ,2–1, Netherlands, Klinsmann  51'Brehme  85'   R. Koeman  89' (pen.) 
1990,Republic of Ireland ,0–0 (a.e.t.), Romania,     
1990,Italy ,2–0, Uruguay, Schillaci  65'Serena  83'    
1990,Spain ,1–2 (a.e.t.), Yugoslavia," Julio Salinas  84'   Stojković  78', 93' "
1990,England ,1–0 (a.e.t.), Belgium, Platt  119'    
1990,Argentina ,0–0 (a.e.t.), Yugoslavia,     
1990,Republic of Ireland ,0–1, Italy,    Schillaci  38' 
1990,Czechoslovakia ,0–1, West Germany,    Matthäus  25' (pen.) 
1990,Cameroon ,2–3 (a.e.t.), England," Kundé  61' (pen.)Ekéké  65'   Platt  25'Lineker  83' (pen.), 105' (pen.) "
1990,Argentina ,1–1 (a.e.t.), Italy, Caniggia  67'   Schillaci  17' 
1990,West Germany ,1–1 (a.e.t.), England, Brehme  60'   Lineker  80' 
1990,Italy ,2–1, England, Baggio  71'Schillaci  86' (pen.)   Platt  81' 
1990,West Germany ,1–0, Argentina, Brehme  85' (pen.)    
1994,Germany ,3–2, Belgium," Völler  6', 38'Klinsmann  11'   Grün  8'Albert  90' "
1994,Spain ,3–0, Switzerland, Hierro  15'Luis Enrique  74'Begiristain  86' (pen.)    
1994,Saudi Arabia ,1–3, Sweden," Al-Ghesheyan  85'   Dahlin  6'K. Andersson  51', 88' "
1994,Romania ,3–2, Argentina," Dumitrescu  11', 18'Hagi  58'   Batistuta  16' (pen.)Balbo  75' "
1994,Netherlands ,2–0, Republic of Ireland, Bergkamp  11'Jonk  41'    
1994,Brazil ,1–0, United States, Bebeto  72'    
1994,Nigeria ,1–2 (a.e.t.), Italy," Amunike  25'   R. Baggio  88', 102' (pen.) "
1994,Mexico ,1–1 (a.e.t.), Bulgaria, García Aspe  18' (pen.)   Stoichkov  6' 
1994,Italy ,2–1, Spain, D. Baggio  25'R. Baggio  88'   Caminero  58' 
1994,Netherlands ,2–3, Brazil, Bergkamp  64'Winter  76'   Romário  53'Bebeto  63'Branco  81' 
1994,Bulgaria ,2–1, Germany, Stoichkov  75'Letchkov  78'   Matthäus  47' (pen.) 
1994,Romania ,2–2 (a.e.t.), Sweden," Rǎducioiu  88', 101'   Brolin  78'K. Andersson  115' "
1994,Bulgaria ,1–2, Italy," Stoichkov  44' (pen.)   R. Baggio  21', 25' "
1994,Sweden ,0–1, Brazil,    Romário  80' 
1994,Sweden ,4–0, Bulgaria, Brolin  8'Mild  30'Larsson  37'K. Andersson  39'    
1994,Brazil ,0–0 (a.e.t.), Italy,     
1998,Italy ,1–0, Norway, Vieri  18'    
1998,Brazil ,4–1, Chile," César Sampaio  11', 26'Ronaldo  45+3' (pen.), 72'   Salas  70' "
1998,France ,1–0 (a.e.t.), Paraguay, Blanc  114'     
1998,Nigeria ,1–4, Denmark, Babangida  77'   Møller  3'B. Laudrup  12'Sand  58'Helveg  76' 
